B2,B3,B4,B5,B6,B7,B8,B8A,lat,lon
701,1018,1280,1597,1750,1941,2008,2057,25.3,83.0
884,1096,1318,1610,1813,1956,2120,2042,25.3,83.0
828,1080,1330,1623,1845,1986,2200,2072,25.3,83.0
836,1060,1302,1609,1819,1964,2144,2057,25.3,83.0
850,1094,1340,1634,1858,1999,2220,2092,25.3,83.0
944,1188,1388,1674,1929,2041,2296,2229,25.3,83.0
878,1194,1432,1661,1957,2052,2452,2301,25.3,83.0
1124,1322,1472,1658,1904,1988,2304,2184,25.3,83.0
1150,1350,1498,1687,1934,2017,2324,2209,25.3,83.0
1082,1350,1566,1720,1938,2078,2246,2144,25.3,83.0
983,1326,1576,1723,1972,2151,2328,2208,25.3,83.0
1008,1316,1558,1721,1953,2105,2272,2176,25.3,83.0
1020,1354,1598,1729,1987,2170,2352,2221,25.3,83.0
962,1312,1528,1763,1891,2074,2254,2205,25.3,83.0
907,1254,1470,1740,1874,2072,2208,2188,25.3,83.0
1004,1332,1534,1768,1897,2076,2248,2204,25.3,83.0
976,1334,1552,1797,1927,2121,2296,2251,25.3,83.0
1042,1344,1618,1891,1992,2168,2314,2315,25.3,83.0
952,1300,1610,1914,2011,2198,2354,2358,25.3,83.0
1032,1338,1622,1901,2002,2180,2333,2336,25.3,83.0
987,1328,1640,1934,2029,2228,2382,2387,25.3,83.0
1116,1462,1738,1949,2118,2275,2448,2419,25.3,83.0
1100,1458,1744,1968,2138,2297,2464,2438,25.3,83.0
1114,1456,1738,1949,2116,2274,2458,2422,25.3,83.0
1114,1452,1730,1998,2145,2317,2448,2448,25.3,83.0
994,1354,1720,1902,2108,2381,2504,2326,25.3,83.0
954,1324,1710,1923,2130,2405,2532,2349,25.3,83.0
1008,1354,1722,1908,2111,2387,2511,2331,25.3,83.0
997,1356,1734,1935,2142,2418,2544,2362,25.3,83.0
1094,1444,1832,1930,2173,2246,2466,2360,25.3,83.0
1090,1452,1832,1950,2192,2264,2488,2379,25.3,83.0
1126,1462,1832,1933,2174,2248,2468,2359,25.3,83.0
1134,1478,1852,1962,2201,2273,2500,2393,25.3,83.0
972,1364,1650,1879,1980,2298,2412,2355,25.3,83.0
924,1340,1642,1896,1995,2322,2440,2376,25.3,83.0
904,1324,1642,1875,1977,2317,2449,2380,25.3,83.0
949,1364,1664,1881,1984,2356,2469,2387,25.3,83.0
1976,24936,18424,18766,16580,15205,14352,13750,25.3,83.0
782,1232,1638,1850,2017,2436,2420,2492,25.3,83.0
1208,1470,1704,1913,2063,2373,2322,2411,25.3,83.0
954,1338,1677,1880,2033,2418,2396,2474,25.3,83.0
873,1304,1683,1863,2028,2434,2442,2516,25.3,83.0
1176,1470,1732,1955,2187,2327,2530,2477,25.3,83.0
1232,1478,1702,1978,2150,2250,2436,2373,25.3,83.0
1160,1536,1816,1976,2175,2501,2622,2599,25.3,83.0
1012,1472,1810,1967,2187,2569,2700,2666,25.3,83.0
1130,1524,1818,1972,2176,2517,2646,2625,25.3,83.0
1056,1494,1828,1967,2193,2589,2717,2682,25.3,83.0
1266,1640,1898,2121,2196,2501,2696,2668,25.3,83.0
1224,1642,1916,2146,2213,2535,2752,2714,25.3,83.0
1234,1640,1918,2135,2198,2531,2752,2714,25.3,83.0
1400,1696,1896,2110,2207,2455,2614,2605,25.3,83.0
1312,1736,1914,2194,2356,2691,2658,2784,25.3,83.0
1208,1700,1914,2214,2381,2744,2722,2863,25.3,83.0
1246,1708,1910,2211,2379,2739,2708,2844,25.3,83.0
1227,1722,1926,2221,2392,2773,2752,2884,25.3,83.0
1224,1526,1702,1924,2159,2392,2410,2429,25.3,83.0
1254,1548,1718,1937,2173,2405,2428,2445,25.3,83.0
792,1296,1584,2098,2388,2574,2750,2829,25.3,83.0
858,1350,1614,2105,2388,2566,2754,2845,25.3,83.0
886,1366,1626,2119,2401,2575,2775,2863,25.3,83.0
1166,1396,1554,1866,2054,2298,2268,2381,25.3,83.0
1178,1410,1566,1881,2066,2312,2282,2402,25.3,83.0
1186,1418,1604,1897,2222,2502,2426,2475,25.3,83.0
819,1206,1384,1789,2293,2379,2512,2716,25.3,83.0
7688,7028,6576,6365,5682,5657,5912,5580,25.3,83.0
724,1000,1248,1592,1879,2110,2026,2192,25.3,83.0
1722,1582,1544,1613,1625,1726,1586,1693,25.3,83.0
997,1202,1284,1576,1749,1897,2014,2019,25.3,83.0
802,1078,1208,1558,1742,1909,2030,2049,25.3,83.0
1096,1264,1322,1593,1765,1900,2004,2010,25.3,83.0
980,1194,1284,1603,1778,1926,2035,2046,25.3,83.0
1056,1154,1262,1552,1708,1854,1980,1902,25.3,83.0
760,944,1144,1520,1687,1852,1998,1913,25.3,83.0
1024,1124,1246,1546,1703,1855,1982,1901,25.3,83.0
918,1056,1216,1556,1714,1875,2012,1929,25.3,83.0
1004,1180,1304,1427,1628,1687,1804,1854,25.3,83.0
762,1026,1230,1374,1600,1667,1804,1876,25.3,83.0
938,1132,1280,1405,1616,1679,1803,1864,25.3,83.0
1005,1186,1314,1446,1647,1709,1824,1883,25.3,83.0
1018,1196,1296,1591,1713,1920,1886,2005,25.3,83.0
1270,1368,1404,1657,1764,1932,1888,1983,25.3,83.0
964,1158,1274,1584,1704,1918,1886,2008,25.3,83.0
1076,1238,1328,1626,1746,1947,1907,2021,25.3,83.0
1760,1806,1848,2004,2070,2232,2198,2175,25.3,83.0
1292,1456,1666,1947,2031,2243,2204,2187,25.3,83.0
1758,1792,1846,1999,2070,2238,2200,2179,25.3,83.0
1396,1538,1716,1977,2003,2197,2158,2136,25.3,83.0
786,894,1034,1431,1534,1644,1616,1689,25.3,83.0
686,822,990,1425,1528,1640,1606,1687,25.3,83.0
816,913,1042,1438,1537,1645,1619,1689,25.3,83.0
969,1036,1122,1475,1577,1676,1650,1709,25.3,83.0
1084,1198,1328,1625,1819,1823,1648,1895,25.3,83.0
1036,1164,1312,1629,1825,1828,1644,1896,25.3,83.0
1142,1236,1352,1633,1821,1825,1654,1892,25.3,83.0
1026,1156,1312,1636,1837,1836,1649,1916,25.3,83.0
1032,1132,1316,1527,1618,1652,1706,1753,25.3,83.0
974,1086,1268,1521,1610,1638,1656,1736,25.3,83.0
1000,1096,1270,1523,1612,1640,1651,1732,25.3,83.0
864,1013,1270,1525,1617,1648,1707,1774,25.3,83.0
1202,1364,1638,1783,1890,1961,2030,2030,25.3,83.0
1188,1362,1614,1849,1938,1991,2024,2027,25.3,83.0
1158,1322,1614,1750,1839,1911,1997,1984,25.3,83.0
1224,1390,1634,1855,1946,1996,2039,2044,25.3,83.0
1770,1776,1816,2012,2085,2150,2104,2153,25.3,83.0
1306,1450,1642,2005,2104,2189,2104,2216,25.3,83.0
1728,1746,1804,2012,2090,2162,2116,2174,25.3,83.0
1366,1490,1664,2003,2108,2199,2118,2239,25.3,83.0
1296,1360,1448,1623,1712,1671,1700,1789,25.3,83.0
966,1120,1322,1587,1699,1641,1650,1805,25.3,83.0
1290,1346,1438,1624,1713,1670,1689,1795,25.3,83.0
1015,1152,1344,1584,1700,1638,1663,1825,25.3,83.0
1106,1128,1338,1522,1604,1667,1692,1773,25.3,83.0
842,924,1264,1500,1590,1664,1678,1797,25.3,83.0
1136,1148,1344,1526,1610,1670,1694,1773,25.3,83.0
911,970,1306,1516,1610,1683,1702,1825,25.3,83.0
1606,1638,1656,1812,1861,1911,1934,1887,25.3,83.0
1562,1606,1642,1813,1863,1916,1938,1893,25.3,83.0
1692,1666,1824,2062,2056,2168,1978,2145,25.3,83.0
2168,2098,2062,2247,2220,2259,2120,2192,25.3,83.0
2238,2154,2104,2272,2238,2275,2140,2208,25.3,83.0
1922,1976,1966,2200,2179,2183,2124,2186,25.3,83.0
